========== FactorVAEModel 训练配置 ==========
d_feat: 20
time_span: 20
stock_size: 300
latent_size: 64
factor_size: 16
gru_input_size: 20
hidden_size: 64
gamma: 1.0
n_epochs: 300
lr: 0.001
early_stop: 30
batch_size: 512
optimizer: adam
GPU: 6
seed: None
===================================================

========== 训练过程 ==========
Epoch 14: train_loss 0.2516, valid_loss 0.1954
Epoch 15: train_loss 0.2515, valid_loss 0.1953
Epoch 16: train_loss 0.2515, valid_loss 0.1953
Epoch 17: train_loss 0.2514, valid_loss 0.1953
Epoch 18: train_loss 0.2514, valid_loss 0.1952
Epoch 19: train_loss 0.2514, valid_loss 0.1952
Epoch 20: train_loss 0.2513, valid_loss 0.1951
Epoch 21: train_loss 0.2513, valid_loss 0.1951
Epoch 22: train_loss 0.2512, valid_loss 0.1951
Epoch 23: train_loss 0.2512, valid_loss 0.1950
Epoch 24: train_loss 0.2512, valid_loss 0.1950
Epoch 25: train_loss 0.2511, valid_loss 0.1950
Epoch 26: train_loss 0.2511, valid_loss 0.1949
Epoch 27: train_loss 0.2510, valid_loss 0.1949
Epoch 28: train_loss 0.2510, valid_loss 0.1949
Epoch 29: train_loss 0.2509, valid_loss 0.1948
Epoch 30: train_loss 0.2509, valid_loss 0.1948
Epoch 31: train_loss 0.2508, valid_loss 0.1948
Epoch 32: train_loss 0.2508, valid_loss 0.1948
Epoch 33: train_loss 0.2507, valid_loss 0.1947
Epoch 34: train_loss 0.2506, valid_loss 0.1947
Epoch 35: train_loss 0.2505, valid_loss 0.1946
Epoch 36: train_loss 0.2505, valid_loss 0.1946
Epoch 37: train_loss 0.2504, valid_loss 0.1945
Epoch 38: train_loss 0.2503, valid_loss 0.1944
Epoch 39: train_loss 0.2502, valid_loss 0.1943
Epoch 40: train_loss 0.2501, valid_loss 0.1943
Epoch 41: train_loss 0.2500, valid_loss 0.1942
Epoch 42: train_loss 0.2499, valid_loss 0.1941
Epoch 43: train_loss 0.2498, valid_loss 0.1940
Epoch 44: train_loss 0.2497, valid_loss 0.1938
Epoch 45: train_loss 0.2496, valid_loss 0.1938
Epoch 46: train_loss 0.2495, valid_loss 0.1936
Epoch 47: train_loss 0.2494, valid_loss 0.1935
Epoch 48: train_loss 0.2493, valid_loss 0.1934
Epoch 49: train_loss 0.2491, valid_loss 0.1933
Epoch 50: train_loss 0.2490, valid_loss 0.1932
Epoch 51: train_loss 0.2489, valid_loss 0.1931
Epoch 52: train_loss 0.2488, valid_loss 0.1930
Epoch 53: train_loss 0.2487, valid_loss 0.1930
Epoch 54: train_loss 0.2487, valid_loss 0.1930
Epoch 55: train_loss 0.2486, valid_loss 0.1928
Epoch 56: train_loss 0.2485, valid_loss 0.1929
Epoch 57: train_loss 0.2485, valid_loss 0.1929
Epoch 58: train_loss 0.2484, valid_loss 0.1928
Epoch 59: train_loss 0.2483, valid_loss 0.1928
Epoch 60: train_loss 0.2483, valid_loss 0.1927
Epoch 61: train_loss 0.2482, valid_loss 0.1927
Epoch 62: train_loss 0.2481, valid_loss 0.1926
Epoch 63: train_loss 0.2481, valid_loss 0.1927
Epoch 64: train_loss 0.2480, valid_loss 0.1925
Epoch 65: train_loss 0.2480, valid_loss 0.1927
Epoch 66: train_loss 0.2479, valid_loss 0.1926
Epoch 67: train_loss 0.2478, valid_loss 0.1925
Epoch 68: train_loss 0.2478, valid_loss 0.1926
Epoch 69: train_loss 0.2477, valid_loss 0.1925
Epoch 70: train_loss 0.2476, valid_loss 0.1925
Epoch 71: train_loss 0.2476, valid_loss 0.1924
Epoch 72: train_loss 0.2475, valid_loss 0.1924
Epoch 73: train_loss 0.2475, valid_loss 0.1924
Epoch 74: train_loss 0.2474, valid_loss 0.1924
Epoch 75: train_loss 0.2473, valid_loss 0.1924
Epoch 76: train_loss 0.2473, valid_loss 0.1924
Epoch 77: train_loss 0.2472, valid_loss 0.1924
Epoch 78: train_loss 0.2472, valid_loss 0.1924
Epoch 79: train_loss 0.2471, valid_loss 0.1924
Epoch 80: train_loss 0.2471, valid_loss 0.1922
Epoch 81: train_loss 0.2470, valid_loss 0.1924
Epoch 82: train_loss 0.2470, valid_loss 0.1922
Epoch 83: train_loss 0.2469, valid_loss 0.1923
Epoch 84: train_loss 0.2468, valid_loss 0.1921
Epoch 85: train_loss 0.2468, valid_loss 0.1923
Epoch 86: train_loss 0.2468, valid_loss 0.1921
Epoch 87: train_loss 0.2467, valid_loss 0.1923
Epoch 88: train_loss 0.2466, valid_loss 0.1922
Epoch 89: train_loss 0.2466, valid_loss 0.1920
Epoch 90: train_loss 0.2465, valid_loss 0.1921
Epoch 91: train_loss 0.2465, valid_loss 0.1921
Epoch 92: train_loss 0.2464, valid_loss 0.1921
Epoch 93: train_loss 0.2464, valid_loss 0.1921
Epoch 94: train_loss 0.2463, valid_loss 0.1920
Epoch 95: train_loss 0.2463, valid_loss 0.1920
Epoch 96: train_loss 0.2462, valid_loss 0.1919
Epoch 97: train_loss 0.2462, valid_loss 0.1919
Epoch 98: train_loss 0.2461, valid_loss 0.1920
Epoch 99: train_loss 0.2461, valid_loss 0.1919
Epoch 100: train_loss 0.2461, valid_loss 0.1919
Epoch 101: train_loss 0.2461, valid_loss 0.1919
Epoch 102: train_loss 0.2460, valid_loss 0.1920
Epoch 103: train_loss 0.2460, valid_loss 0.1919
Epoch 104: train_loss 0.2459, valid_loss 0.1918
Epoch 105: train_loss 0.2459, valid_loss 0.1920
Epoch 106: train_loss 0.2458, valid_loss 0.1918
Epoch 107: train_loss 0.2458, valid_loss 0.1920
Epoch 108: train_loss 0.2458, valid_loss 0.1918
Epoch 109: train_loss 0.2457, valid_loss 0.1919
Epoch 110: train_loss 0.2457, valid_loss 0.1919
Epoch 111: train_loss 0.2457, valid_loss 0.1918
Epoch 112: train_loss 0.2456, valid_loss 0.1920
Epoch 113: train_loss 0.2456, valid_loss 0.1918
Epoch 114: train_loss 0.2456, valid_loss 0.1920
Epoch 115: train_loss 0.2456, valid_loss 0.1918
Epoch 116: train_loss 0.2455, valid_loss 0.1918
Epoch 117: train_loss 0.2454, valid_loss 0.1919
Epoch 118: train_loss 0.2454, valid_loss 0.1918
Epoch 119: train_loss 0.2454, valid_loss 0.1919
Epoch 120: train_loss 0.2453, valid_loss 0.1917
Epoch 121: train_loss 0.2453, valid_loss 0.1917
Epoch 122: train_loss 0.2453, valid_loss 0.1919
Epoch 123: train_loss 0.2452, valid_loss 0.1919
Epoch 124: train_loss 0.2452, valid_loss 0.1919
Epoch 125: train_loss 0.2452, valid_loss 0.1918
Epoch 126: train_loss 0.2452, valid_loss 0.1919
Epoch 127: train_loss 0.2451, valid_loss 0.1920
Epoch 128: train_loss 0.2451, valid_loss 0.1918
Epoch 129: train_loss 0.2451, valid_loss 0.1918
Epoch 130: train_loss 0.2450, valid_loss 0.1919
Epoch 131: train_loss 0.2450, valid_loss 0.1919
Epoch 132: train_loss 0.2449, valid_loss 0.1919
Epoch 133: train_loss 0.2449, valid_loss 0.1918
Epoch 134: train_loss 0.2449, valid_loss 0.1918
Epoch 135: train_loss 0.2448, valid_loss 0.1920
Epoch 136: train_loss 0.2448, valid_loss 0.1918
Epoch 137: train_loss 0.2448, valid_loss 0.1918
Epoch 138: train_loss 0.2447, valid_loss 0.1920
Epoch 139: train_loss 0.2447, valid_loss 0.1918
Epoch 140: train_loss 0.2447, valid_loss 0.1920
Epoch 141: train_loss 0.2447, valid_loss 0.1920
Epoch 142: train_loss 0.2446, valid_loss 0.1919
Epoch 143: train_loss 0.2446, valid_loss 0.1921
Epoch 144: train_loss 0.2445, valid_loss 0.1919
Epoch 145: train_loss 0.2445, valid_loss 0.1919
Epoch 146: train_loss 0.2445, valid_loss 0.1921
Epoch 147: train_loss 0.2444, valid_loss 0.1920
Epoch 148: train_loss 0.2444, valid_loss 0.1919
Epoch 149: train_loss 0.2444, valid_loss 0.1920
Epoch 150: train_loss 0.2443, valid_loss 0.1921
Epoch 151: train_loss 0.2444, valid_loss 0.1920
Best Loss: 0.191742 @ Epoch 121
{'IC': np.float64(-0.0002034227967203112),
 'ICIR': np.float64(-0.000963512246999441),
 'Rank IC': np.float64(0.0021638045558465347),
 'Rank ICIR': np.float64(0.010604269108582054)}
 
 ========== FactorVAEModel 训练配置 ==========
d_feat: 158
time_span: 20
stock_size: 300
latent_size: 158
factor_size: 48
gru_input_size: 158
hidden_size: 48
gamma: 1.0
n_epochs: 300
lr: 0.001
early_stop: 50
batch_size: 512
optimizer: adam
GPU: 6
seed: None
===================================================

========== 训练过程 ==========
========== FactorVAEModel 训练配置 ==========
d_feat: 158
time_span: 20
stock_size: 300
latent_size: 158
factor_size: 48
gru_input_size: 158
hidden_size: 48
gamma: 1.0
n_epochs: 300
lr: 0.001
early_stop: 50
batch_size: 256
optimizer: adam
GPU: 6
seed: None
===================================================

========== 训练过程 ==========
Epoch 0: train_loss 0.2767, valid_loss 0.2051
Epoch 1: train_loss 0.2581, valid_loss 0.1981
Epoch 2: train_loss 0.2528, valid_loss 0.1955
Epoch 3: train_loss 0.2512, valid_loss 0.1947
Epoch 4: train_loss 0.2505, valid_loss 0.1943
Epoch 5: train_loss 0.2499, valid_loss 0.1937
Epoch 6: train_loss 0.2491, valid_loss 0.1931
Epoch 7: train_loss 0.2484, valid_loss 0.1927
Epoch 8: train_loss 0.2476, valid_loss 0.1922
Epoch 9: train_loss 0.2469, valid_loss 0.1917
Epoch 10: train_loss 0.2461, valid_loss 0.1914
Epoch 11: train_loss 0.2453, valid_loss 0.1907
Epoch 12: train_loss 0.2446, valid_loss 0.1906
Epoch 13: train_loss 0.2440, valid_loss 0.1904
Epoch 14: train_loss 0.2435, valid_loss 0.1898
Epoch 15: train_loss 0.2428, valid_loss 0.1897
Epoch 16: train_loss 0.2424, valid_loss 0.1898
Epoch 17: train_loss 0.2417, valid_loss 0.1894
Epoch 18: train_loss 0.2412, valid_loss 0.1893
Epoch 19: train_loss 0.2406, valid_loss 0.1891
Epoch 20: train_loss 0.2401, valid_loss 0.1896
Epoch 21: train_loss 0.2399, valid_loss 0.1892
Epoch 22: train_loss 0.2396, valid_loss 0.1891
Epoch 23: train_loss 0.2389, valid_loss 0.1886
Epoch 24: train_loss 0.2385, valid_loss 0.1887
Epoch 25: train_loss 0.2380, valid_loss 0.1887
Epoch 26: train_loss 0.2376, valid_loss 0.1891
Epoch 27: train_loss 0.2371, valid_loss 0.1892
Epoch 28: train_loss 0.2368, valid_loss 0.1889
Epoch 29: train_loss 0.2366, valid_loss 0.1893
Epoch 30: train_loss 0.2364, valid_loss 0.1890
Epoch 31: train_loss 0.2360, valid_loss 0.1888
Epoch 32: train_loss 0.2354, valid_loss 0.1902
Epoch 33: train_loss 0.2356, valid_loss 0.1887
Epoch 34: train_loss 0.2353, valid_loss 0.1894
Epoch 35: train_loss 0.2348, valid_loss 0.1899
Epoch 36: train_loss 0.2344, valid_loss 0.1895
